source_id,treated,kind,Signature 1,Signature 2,Signature 3,Signature 4,Signature 5,Signature 6,Signature 7,Signature 8,Signature 9,Signature 10,Signature 11,Signature 12,Signature 13,Signature 14,Signature 15,Signature 16,Signature 17,Signature 18,Signature 19,Signature 20,Signature 21,Signature 22,Signature 23,Signature 24,Signature 25,Signature 26,Signature 27,Signature 28,Signature 29,Signature 30,Cisplatin Gallus gallus,Cyclophosphamide Gallus gallus,Etoposide Gallus gallus,Cisplatin C Elegans
AOCS-001-1-7,False,all,0.083280,0.024729,0.412649,0.000000,0.000000,0.006670,0.000000,0.165039,0.000000,0.000000,0.029812,0.000000,0.060511,0.000000,0.000000,0.144584,0.000000,0.000000,0.012363,0.000000,0.016667,0.001876,0.000000,0.016672,0.025148,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
AOCS-004-1-5,False,all,0.060413,0.028655,0.339972,0.000000,0.155529,0.009620,0.000000,0.127615,0.028047,0.000000,0.000000,0.024310,0.000000,0.004437,0.011460,0.079435,0.014867,0.000000,0.023491,0.000000,0.007514,0.000000,0.000000,0.000000,0.000000,0.051271,0.000000,0.000000,0.000000,0.000000,0.000000,0.019407,0.000000,0.013958
AOCS-005-1-8,False,all,0.139281,0.052011,0.162842,0.000000,0.257810,0.000000,0.000000,0.114895,0.071077,0.000000,0.010532,0.000000,0.083437,0.000000,0.000000,0.043763,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011033,0.000000,0.000000,0.000000,0.000000,0.053319,0.000000
AOCS-034-1-0,False,all,0.094747,0.026048,0.577138,0.000000,0.051413,0.000000,0.000000,0.073266,0.024988,0.000000,0.009594,0.000000,0.040046,0.000000,0.005978,0.084829,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008634,0.000000,0.000000,0.000000,0.000000,0.000000,0.003319,0.000000,0.000000,0.000000
AOCS-034-3-8,True,all,0.044497,0.034413,0.493021,0.000000,0.000000,0.000000,0.000000,0.060073,0.039102,0.000000,0.011875,0.000000,0.106180,0.000000,0.000000,0.035735,0.000000,0.000000,0.067292,0.000000,0.000000,0.000000,0.034141,0.000000,0.017605,0.000000,0.000000,0.000000,0.019185,0.000000,0.007729,0.017404,0.000000,0.011748
AOCS-034-3-8,True,unique to treated,0.007634,0.041865,0.381169,0.000000,0.000000,0.000000,0.004508,0.077574,0.015457,0.000000,0.000000,0.000000,0.183161,0.000000,0.000000,0.014426,0.000000,0.000000,0.020510,0.000000,0.000000,0.000000,0.119552,0.000000,0.000000,0.000000,0.000000,0.005774,0.033498,0.000000,0.000000,0.066367,0.000000,0.028503
AOCS-055-1-7,False,all,0.099963,0.072865,0.281344,0.000000,0.000000,0.000000,0.003331,0.000000,0.059318,0.000000,0.012995,0.000000,0.312359,0.000000,0.000000,0.089271,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.047587,0.000000,0.000000,0.000000,0.000000,0.000000,0.014342,0.006626,0.000000
AOCS-056-1-X,False,all,0.110594,0.012215,0.481762,0.000000,0.028756,0.007155,0.000000,0.234151,0.000000,0.000000,0.002475,0.000000,0.006843,0.000000,0.000000,0.036837,0.000000,0.000000,0.041946,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017461,0.019806,0.000000,0.000000
AOCS-057-1-2,False,all,0.084117,0.007106,0.376318,0.000000,0.200440,0.010536,0.001411,0.189051,0.018755,0.000000,0.008313,0.009772,0.024841,0.000000,0.000000,0.042154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012728,0.000000,0.014456
AOCS-058-1-5,False,all,0.093638,0.015873,0.428976,0.052160,0.000000,0.003878,0.000000,0.243478,0.000000,0.000000,0.000000,0.000000,0.029147,0.000000,0.005255,0.021862,0.000000,0.000000,0.037408,0.000000,0.000000,0.005066,0.000000,0.000000,0.011482,0.000000,0.000000,0.000000,0.000000,0.023361,0.000000,0.004728,0.000000,0.023688
