"","Signature.1","Signature.2","Signature.3","Signature.4","Signature.5","Signature.6","Signature.7","Signature.8","Signature.9","Signature.10","Signature.11","Signature.12","Signature.13","Signature.14","Signature.15","Signature.16","Signature.17","Signature.18","Signature.19","Signature.20","Signature.21","Signature.22","Signature.23","Signature.24","Signature.25","Signature.26","Signature.27","Signature.28","Signature.29","Signature.30","Cisplatin..Gallus.gallus","Cyclophosphamide..Gallus.gallus","Etoposide..Gallus.gallus","Cisplatin..C..Elegans.wildtype","Cisplatin..C..Elegans.fan.1","Cisplatin..C..Elegans.fcd.2","Cisplatin..C..Elegans.lig.4","Cisplatin..C..Elegans.lig.4..fcd.2","Cisplatin..C..Elegans.mus.81","Cisplatin..C..Elegans.polq.1","Cisplatin..C..Elegans.slx.1","Cisplatin..C..Elegans.xpf.1","Sample"
"106",0,0,0,0,0,0.0637012396435269,0,0,0.250904850297051,0,0,0.514760803749206,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0948251975611117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-166-1/SP102133 all"
"122",0,0,0.133002007163437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094216992313264,0,0,0.120342115972672,0.141969296258873,0,0,0,0,0,0,0,0.0808327250433208,0.152452601188538,0,0,0,0,0,0,0,0,0,0.14509307003709,"AOCS-092-13/SP101630 new"
"60",0,0,0.217817268832809,0,0,0,0,0.473672705073207,0,0,0,0,0,0,0,0,0,0,0.071525291291671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-119-13/SP101732 all"
"59",0,0,0.243353110259408,0,0,0,0,0.310671709112927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0673532501598799,0,0,0,0,0,0,0,0,0,0,"AOCS-117-13/SP101724 all"
"73",0,0,0.272219545401017,0,0.103954324629657,0,0,0.397365219989422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-135-13/SP101855 all"
"74",0,0,0.276793271248585,0,0.110276048654256,0,0,0.386780291171274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-135-14/SP101860 all"
"92",0,0,0.293942327291039,0,0,0,0,0.239073000619819,0,0,0,0,0,0,0,0.0787138118227633,0,0,0.0699376537101523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0740234657446521,0,0,0,0,0,0,"AOCS-150-13/SP102010 all"
"3",0,0,0.325052831564533,0,0.17691395436286,0,0,0.134828437415071,0,0,0,0,0,0,0,0.0889178255260534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-004-1/SP101519 all"
"31",0,0,0.331926448358481,0,0,0,0,0.437653896613176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-088-1/SP101610 all"
"116",0,0,0.340932231241621,0,0,0,0,0.102470037114157,0,0,0,0,0.177888714340926,0,0,0,0,0,0,0,0,0,0.111941489890367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-034-13/SP101524 new"
"37",0,0,0.36124835046259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11979746158018,0,0,0,0,0,0,0,0,0,0,0,0,0.103668474569489,0,0,0,0,0,0,0,0,0,0.0674548992705408,"AOCS-092-13/SP101630 all"
"65",0,0,0.362537429132639,0,0,0,0,0.282841613220015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-125-1/SP101775 all"
"32",0,0,0.367816913648694,0,0,0,0,0.358507039748246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-088-13/SP101612 all"
"119",0,0,0.368231870124288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073161461838207,0,0,0,0.0952449111969973,0,0,0,0,0,0.0820769077421544,0,0,0.110894934912917,0,0,0,0.0869533706608025,0,0,0,0,0,0,"AOCS-086-13/SP101606 new"
"44",0,0,0.382850026668738,0,0,0,0,0.227897917511693,0,0,0,0,0,0,0,0,0,0,0.0711336535166399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-095-13/SP101650 all"
