"","Signature.1","Signature.2","Signature.3","Signature.4","Signature.5","Signature.6","Signature.7","Signature.8","Signature.9","Signature.10","Signature.11","Signature.12","Signature.13","Signature.14","Signature.15","Signature.16","Signature.17","Signature.18","Signature.19","Signature.20","Signature.21","Signature.22","Signature.23","Signature.24","Signature.25","Signature.26","Signature.27","Signature.28","Signature.29","Signature.30","Cisplatin","Signature 1","Signature 2","Signature 3","Signature 4","Signature 5","Signature 6","Signature 7","Signature 8","Signature 9","Signature 10","Signature 11","Signature 12","Signature 13","Signature 14","Signature 15","Signature 16","Signature 18","Signature 19","Signature 20","Signature 21","Signature 23","Signature 24","Signature 25","Signature 26","Signature 29","Signature 30","Sample"
"48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0.83416066943086,0,0,0,0,0,0,0,0,0,0.0698229268204942,0,"AOCS-093-13/SP101638 new-binder "
"47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0.835114956210603,0,0,0,0,0,0,0,0,0,0,0,"AOCS-092-13/SP101630 new-binder "
"55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,"PT189-secondary_deep_fascia new-binder "
"46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.0810274494426636,0,0,0.406347856261184,NA,0,0,NA,0,0,NA,0,0.263510437330689,0,0,0,0,0,0,0.179925963488299,0,0,0,0,"AOCS-091-13/SP101624 new-binder "
"59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.21096761637761,0,0,0.635020990817507,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.111238246224284,0,0,0,0,"AOCS-064-1/SP101552 primary-binder "
"51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.512532969587319,0,0,0,NA,0,0,NA,0.152727676776723,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-137-13/SP101871 new-binder "
"45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.640660135827302,0,0,0.0846873786893886,0,0,0,0.13639928903492,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.0646852845699017,0,"AOCS-088-13/SP101612 new-binder "
"64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0662265613682554,NA,0,0,0,0.761058237990683,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0.172715200641062,0,0,0,0,"AOCS-092-1/SP101628 primary-binder "
"42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10484962674593,NA,0.183472339230537,0,0,0,NA,0,0,0.123630435812282,0,0,NA,0,0.194322986611173,0,0,0,0,0,0,0.22143650987117,0,0,0,0,"AOCS-064-13/SP101554 new-binder "
"58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157955262897173,NA,0.231991080890337,0,0,0,0,0,0,NA,0,0,0,0,0.488039798612292,0,0,0,0,0,0,0,0,0,0,0,"AOCS-034-1/SP101523 primary-binder "
"43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161387358921405,NA,0.190993622214991,0,0,0.467261829345932,NA,0,0,NA,0,0,NA,0,0,0,0.089229599807507,0,0,0,0,0,0,0,0,0,"AOCS-065-13/SP101560 new-binder "
"112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172972478355096,0,0.267559374351201,0,0,0.234191624417406,NA,0,0,NA,0,0,NA,0,0.19623202301054,0,0,0,0,0,0,0,0,0,0,0,"PT189-primary_uterus primary-high-vaf "
"73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184453026674964,0,0.0935611547297273,0,0,0,NA,0,0,0.244923983656666,0,0,NA,0,0.432895878981594,0,0,0,0,0,0,0,0,0,0,0,"PT189-primary_omentum primary-binder "
