"","Signature.1","Signature.2","Signature.3","Signature.4","Signature.5","Signature.6","Signature.7","Signature.8","Signature.9","Signature.10","Signature.11","Signature.12","Signature.13","Signature.14","Signature.15","Signature.16","Signature.17","Signature.18","Signature.19","Signature.20","Signature.21","Signature.22","Signature.23","Signature.24","Signature.25","Signature.26","Signature.27","Signature.28","Signature.29","Signature.30","Chicken.cisplatin","Chicken.cyclophosphamide","Chicken.etoposide","C.Elegans.Cisplatin","Sample"
"132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.924169411941546,0,"etoposide check"
"131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.965400572733485,0,0,"cyclophosphamide check"
"130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.938256955050849,0,0,0,"cisplatin check"
"106",0,0,0,0,0,0.0637012396435269,0,0,0.250904850297051,0,0,0.514760803749206,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0948251975611117,0,0,0,0,0,0,0,0,"AOCS-166-1/SP102133 all"
"122",0,0,0.15809339346258,0.138944038399373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0935886505435797,0,0,0.107357704894236,0.14673740492631,0,0,0,0,0,0,0,0.0756199027777197,0.156505124091952,0,0,"AOCS-092-13/SP101630 new"
"60",0,0,0.24301173399029,0,0,0,0,0.474244329355263,0,0,0,0,0,0,0,0,0,0,0.0674289709483515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-119-13/SP101732 all"
"74",0,0,0.279925294697762,0,0.124117091466881,0,0,0.373381577882155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-135-14/SP101860 all"
"73",0,0,0.280556128341316,0,0.106045898685088,0,0,0.392249432322527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-135-13/SP101855 all"
"31",0,0,0.339112215184394,0,0,0,0,0.432023494479057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-088-1/SP101610 all"
"92",0,0,0.349613493852951,0,0,0,0,0.247125932018603,0,0,0,0,0,0,0,0.0612964074719807,0,0,0.0888979233208224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-150-13/SP102010 all"
"3",0,0,0.35641110418637,0,0.102397749420308,0,0,0.152115194524915,0,0,0,0,0,0,0,0.0787022591636463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-004-1/SP101519 all"
"32",0,0,0.374053438581395,0,0,0,0,0.357263323816462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-088-13/SP101612 all"
"116",0,0,0.378010987585117,0,0,0,0,0.12149373916723,0,0,0,0,0.174752424861774,0,0,0,0,0,0,0,0,0,0.124723601358695,0,0,0,0,0,0,0,0,0,0,0,"AOCS-034-13/SP101524 new"
"37",0,0,0.382197253644002,0,0,0,0,0.0853853707952377,0,0,0,0,0,0,0,0,0,0,0.116541023506083,0,0,0,0,0,0,0,0,0,0.0604091350797693,0,0,0.101533116871269,0,0,"AOCS-092-13/SP101630 all"
"120",0,0,0.392080178963667,0,0,0,0,0.307938833821428,0,0,0,0,0.0788227797459385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0741571130766839,0,0,"AOCS-088-13/SP101612 new"
"67",0,0,0.392601516896224,0,0,0,0,0.236455525322312,0,0,0,0,0.0613108620556079,0,0,0.0752927911635939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-128-1/SP101795 all"
"65",0,0,0.397272207441088,0,0,0,0,0.277348982468358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-125-1/SP101775 all"
"62",0,0,0.404915514934511,0,0,0,0,0.321830547732413,0,0,0,0,0,0,0,0.0681168783425915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-122-1/SP101748 all"
