"","Signature.1","Signature.2","Signature.3","Signature.4","Signature.5","Signature.6","Signature.7","Signature.8","Signature.9","Signature.10","Signature.11","Signature.12","Signature.13","Signature.14","Signature.15","Signature.16","Signature.17","Signature.18","Signature.19","Signature.20","Signature.21","Signature.22","Signature.23","Signature.24","Signature.25","Signature.26","Signature.27","Signature.28","Signature.29","Signature.30","Cisplatin..Gallus.gallus","Cyclophosphamide..Gallus.gallus","Etoposide..Gallus.gallus","Cisplatin..C..Elegans.wildtype","Cisplatin..C..Elegans.fan.1","Cisplatin..C..Elegans.fcd.2","Cisplatin..C..Elegans.lig.4","Cisplatin..C..Elegans.lig.4..fcd.2","Cisplatin..C..Elegans.mus.81","Cisplatin..C..Elegans.polq.1","Cisplatin..C..Elegans.slx.1","Cisplatin..C..Elegans.xpf.1","Sample"
"105",0,0,0,0,0,0.0639352401503179,0,0,0.247810501508304,0,0,0.5149441500919,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0984564155762539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-166-1-2 all"
"121",0,0,0.126668661350345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100057652918168,0,0,0.115031913143936,0.152028432366408,0,0,0,0,0,0,0,0.0766610763802998,0.18363008445808,0,0,0,0,0,0,0,0,0,0.10402182636405,"AOCS-092-3-3 new"
"59",0,0,0.229411991149413,0,0,0,0,0.480376394838541,0,0,0,0,0,0,0,0,0,0,0.0767103024010194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-119-3-9 all"
"91",0,0,0.32601690780513,0,0,0,0,0.210231579218544,0,0,0,0,0,0,0,0.079109048422968,0,0,0.0864622687527448,0,0,0,0,0,0,0,0,0,0,0,0,0.0585380979294651,0,0,0,0.0683497975115157,0,0,0,0,0,0,"AOCS-150-3-1 all"
"30",0,0,0.334239675031213,0,0,0,0,0.433015032385909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0523015083385804,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-088-1-0 all"
"115",0,0,0.346248869946793,0,0,0,0,0.0790369355693873,0,0,0,0,0.183617814776906,0,0,0,0,0,0,0,0,0,0.111079520495051,0,0,0,0,0,0,0,0,0.0567290392825927,0,0,0,0.08418814937985,0,0,0,0,0,0,"AOCS-034-3-8 new"
"31",0,0,0.367189705217235,0,0,0,0,0.359670690025513,0,0,0,0,0.0620414133330372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-088-3-8 all"
"118",0,0,0.382183156509797,0,0,0,0,0,0,0,0,0,0,0,0,0.0507772875099897,0,0,0,0,0,0,0.116506577496508,0,0,0,0,0,0.0761467583881633,0,0,0.118519343506889,0,0,0,0.0673531940303846,0,0,0,0,0,0,"AOCS-086-3-2 new"
"89",0,0,0.396767325822109,0,0,0,0,0.218345662942419,0,0,0,0,0,0,0,0.0791265303369448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-148-1-4 all"
"49",0,0,0.39801962601544,0,0,0,0,0.182997437619561,0,0,0,0,0,0,0,0.0606134678475708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-107-1-4 all"
"43",0,0,0.3991653564162,0,0,0,0,0.216470274734936,0,0,0,0,0,0,0,0,0,0,0.0681197983350331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-095-3-1 all"
"14",0,0,0.419824593664574,0,0,0,0,0.384091845675863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504969842189363,0,0,0,0,0,0,0,0,0,0,"AOCS-064-1-6 all"
"124",0,0,0.420329750520917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106144653564625,0,0,0.0710303505029693,0,0,0,0,0,0,0.0575730701389718,0,0.0585252555020792,0.121163444596666,0,0,0,0,0,0,0,0,0,0,"AOCS-095-3-1 new"
"122",0,0,0.426672633287022,0,0,0,0,0,0,0,0,0,0,0,0,0.0694022827178302,0,0,0.0577076985909202,0,0,0,0.0516038878729492,0,0,0,0,0,0,0,0,0.0661315122138245,0,0,0,0.0582998139345594,0,0,0,0,0,0,"AOCS-093-3-6 new"
"95",0,0,0.429224892141318,0,0,0,0,0.200875828275262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-155-3-5 all"
"92",0,0,0.437727790729709,0,0,0,0,0.170566385813838,0,0,0,0,0,0,0,0.063239986066334,0,0,0.0601389233307496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-150-8-X all"
"97",0,0,0.442482380332877,0,0,0,0,0.301099773650861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-158-1-6 all"
"126",0,0,0.457465580070666,0,0,0,0,0.170672270884148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100933401392132,0,0,0,0,0,0,0,0,0,0,"AOCS-139-12-5 new"
"5",0,0,0.473727317664197,0,0,0,0,0,0,0,0,0,0.106112333433064,0,0,0,0,0,0.0793038059290677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0536072777389376,0,0,0,0,0,0,"AOCS-034-3-8 all"
"15",0,0,0.473919379240323,0,0,0,0,0.273171864654904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0768572900346476,0,0,0,0,0,0,0,0,0,0,"AOCS-064-3-3 all"
"79",0,0,0.484293858165781,0,0,0,0,0.183842643425814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-139-19-0 all"
"127",0,0,0.489266290605895,0,0,0,0,0.13499844696584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0609482904862408,0,0,0.0563062419526022,0,0,0,0,0,0,0,0,0,0,"AOCS-139-19-0 new"
"116",0,0,0.498665835412609,0,0,0,0,0.0829139126359223,0.0577200208874457,0,0,0,0,0,0,0,0.0549611204272299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128567810769035,0,0,0,0,0,0,0,0,0,0,"AOCS-064-3-3 new"
"128",0,0,0.507514205735178,0,0.0742989776867354,0,0,0.181622750577717,0.0574643461390656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-139-6-3 new"
"120",0,0,0.507617401674668,0,0,0,0,0.072981081335006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105530660071188,0,0,0,0.0503373862735186,0,0,0,0,0,0,"AOCS-091-3-0 new"
"123",0,0,0.509220034995355,0,0.0595746516547295,0,0,0.164630441759012,0,0,0,0.0753285284316557,0.0673471943825693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-094-6-X new"
"33",0,0,0.515661086344413,0,0.099860002112637,0,0,0.209806762258322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535633736954395,0,0,0,0,0,0,0,0,0,0,"AOCS-091-1-3 all"
"125",0,0,0.536698922430603,0,0,0,0,0,0,0,0,0.0511434255253494,0,0,0,0.118866467258409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0856024830454459,0,0,0,0.0579410738137519,0,0,0,0,0,0,"AOCS-137-3-7 new"
"117",0,0,0.555525147391014,0,0,0,0,0.0855022318281328,0.0907581155814425,0,0,0,0,0,0,0,0,0,0.0561681354479641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-065-3-6 new"
"40",0,0,0.568065267957277,0,0,0,0,0.0521035481802812,0.0927356134974668,0,0,0.11151190640048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-094-1-1 all"
"119",0,0.0551153993183346,0.387325624755965,0,0,0,0,0.313616914133344,0,0,0,0,0.0816287881577596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0708703861543808,0,0,0,0,0,0,0,0,0,0,"AOCS-088-3-8 new"
"29",0.0521494987092944,0,0.510721960395068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0837536243747689,0,0,0,0,0,0,0,0,0,0.0516302167429795,0,0,0.0581345752175609,0,0,0,0,0,0,0,0,0,0,"AOCS-086-3-2 all"
"64",0.0526861064059623,0,0.33671059334641,0,0.070325020752556,0,0,0.284616622184573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525358165253173,0,0,0,0,0,0,0,0,0.0504144970719045,0,"AOCS-125-1-2 all"
"87",0.0535308974732224,0,0.440447985547072,0,0.0558684554592601,0,0,0.216164630496493,0,0,0,0,0,0,0,0.0799106413022234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-146-1-9 all"
"107",0.0553399563147539,0,0.450251737443279,0,0,0,0,0.159335636417738,0,0,0,0,0,0,0,0.0568998422756926,0,0,0.102376473505574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0733928629951564,0,0,"AOCS-167-16-X all"
"60",0.056413210292888,0,0.551808138457317,0,0,0,0,0.100005179254102,0,0,0,0.0554559194291254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-120-3-6 all"
"34",0.0565386699220375,0,0.49174875887678,0,0,0,0,0.0885735789161013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0753915273894804,0,0,0,0,0,0,0,0,0,0,"AOCS-091-3-0 all"
"68",0.056820776850139,0.0506766042939577,0.429337717849873,0,0,0,0,0.194310962589593,0,0,0,0,0.102984966709599,0,0,0.0582688411031688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-131-1-3 all"
"61",0.0572058930696229,0,0.409933409828797,0,0,0,0,0.302582416509777,0,0,0,0,0,0,0,0.0767535891605708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-122-1-4 all"
"88",0.0573365416388166,0.101016412335823,0.350655116117593,0,0,0,0,0.162674737998274,0,0,0,0,0.121276404386732,0,0,0.0688709823759688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0502948395266839,0,0,0,0,0,0,0,0,0,0,"AOCS-147-1-1 all"
"73",0.0573460278423384,0,0.310753194895273,0,0,0,0,0.369245290677796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-135-8-X all"
