EGAZ00001018524_2014_ICGC_IcgcOvarian_AOCS137_1DNA_12Ascites_ICGCDBPC20130205143_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	107GB	Aug 10, 2016 8:07:00 PM
EGAZ00001018525_2014_ICGC_IcgcOvarian_AOCS091_1DNA_7PrimaryTumour_ICGCDBPC20130205058_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	149GB	Aug 11, 2016 12:14:00 AM
EGAZ00001018526_2014_ICGC_IcgcOvarian_AOCS057_1DNA_1NormalBlood_ICGCDBPC20130205014_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	105GB	Aug 10, 2016 7:58:00 PM
EGAZ00001018527_2014_ICGC_130906_D81P8DQ1_0153_C2704ACXX.nopd.AOCS_081_ICGCDBDE20130916015.rsem.bam.aes	26GB	Aug 10, 2016 1:16:00 PM
EGAZ00001018528_2014_ICGC_130906_D81P8DQ1_0153_C2704ACXX.nopd.AOCS_097_ICGCDBDE20130916022.rsem.bam.aes	28GB	Aug 10, 2016 1:28:00 PM
EGAZ00001018529_2014_ICGC_140227_EXTERN_0128_AC2V5YACXX.nopd.AOCS_164_EXTERNAOCS20140227006.rsem.bam.aes	24GB	Aug 10, 2016 1:04:00 PM
EGAZ00001018530_2014_ICGC_131206_EXTERN_0045_AC2KJBACXX.nopd.AOCS_034_ICGCDBDE20131122024.rsem.bam.aes	21GB	Aug 10, 2016 1:44:00 PM
EGAZ00001018531_2014_ICGC_140227_EXTERN_0129_BC2TLKACXX.nopd.AOCS_170_EXTERNAOCS20140227018.rsem.bam.aes	25GB	Aug 10, 2016 1:09:00 PM
EGAZ00001018532_2014_ICGC_IcgcOvarian_AOCS160_1DNA_1NormalBlood_ICGCDBDE20130904004_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	101GB	Aug 10, 2016 8:22:00 PM
EGAZ00001018533_2014_ICGC_IcgcOvarian_AOCS122_1DNA_1NormalBlood_ICGCDBPC20130205101_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	129GB	Aug 10, 2016 10:37:00 PM
EGAZ00001018534_2014_ICGC_130906_D81P8DQ1_0157_C270DACXX.nopd.AOCS_076_ICGCDBDE20130916011.rsem.bam.aes	18GB	Aug 10, 2016 2:51:00 PM
EGAZ00001018535_2014_ICGC_IcgcOvarian_AOCS077_1DNA_7PrimaryTumour_ICGCDBPC20130205037_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	157GB	Aug 11, 2016 12:23:00 AM
EGAZ00001018536_2014_ICGC_140227_EXTERN_0128_AC2V5YACXX.nopd.AOCS_163_EXTERNAOCS20140227005.rsem.bam.aes	27GB	Aug 10, 2016 3:47:00 PM
EGAZ00001018537_2014_ICGC_IcgcOvarian_AOCS064_1DNA_7PrimaryTumour_ICGCDBPC20130205028_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	132GB	Aug 10, 2016 10:19:00 PM
EGAZ00001018538_2014_ICGC_IcgcOvarian_AOCS117_1DNA_1NormalBlood_ICGCDBPC20130607009_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	126GB	Aug 10, 2016 10:22:00 PM
EGAZ00001018539_2014_ICGC_IcgcOvarian_AOCS093_1DNA_12Ascites_ICGCDBPC20130205062_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	142GB	Aug 10, 2016 11:05:00 PM
EGAZ00001018540_2014_ICGC_IcgcOvarian_AOCS088_1DNA_12Ascites_ICGCDBPC20130701005_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	120GB	Aug 10, 2016 9:13:00 PM
EGAZ00001018541_2014_ICGC_IcgcOvarian_AOCS115_1DNA_7PrimaryTumour_ICGCDBPC20130205092_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	151GB	Aug 11, 2016 2:58:00 AM
EGAZ00001018542_2014_ICGC_131206_EXTERN_0045_AC2KJBACXX.nopd.AOCS_122_ICGCDBDE20131122029.rsem.bam.aes	19GB	Aug 10, 2016 5:18:00 PM
